Exon mobile;Equity;#Shares;100000;
20/11/1985;;6,65625;6,59375;6,625
21/11/1985;;6,672;6,625;6,672
22/11/1985;;6,65625;6,59375;6,6095
25/11/1985;;6,6875;6,57825;6,6095
26/11/1985;;6,6875;6,6095;6,672
27/11/1985;;6,78125;6,672;6,75
29/11/1985;;6,78125;6,672;6,672
02/12/1985;;6,672;6,53125;6,547
03/12/1985;;6,6095;6,547;6,57825
04/12/1985;;6,8125;6,53125;6,797
05/12/1985;;6,82825;6,71875;6,71875
06/12/1985;;6,75;6,65625;6,65625
09/12/1985;;6,65625;6,46875;6,51575
10/12/1985;;6,46875;6,21875;6,2345
11/12/1985;;6,3125;6,125;6,25
12/12/1985;;6,45325;6,26575;6,45325
13/12/1985;;6,6095;6,46875;6,59375
16/12/1985;;6,797;6,5625;6,75
17/12/1985;;6,82825;6,672;6,7345
18/12/1985;;6,8125;6,672;6,76575
19/12/1985;;6,797;6,71875;6,78125
20/12/1985;;6,875;6,78125;6,8125
23/12/1985;;6,78125;6,672;6,672
24/12/1985;;6,625;6,5625;6,625
26/12/1985;;6,6875;6,6095;6,672
27/12/1985;;6,797;6,672;6,7345
30/12/1985;;6,8125;6,70325;6,797
31/12/1985;;6,89075;6,78125;6,89075
02/01/1986;;6,89075;6,78125;6,8125
03/01/1986;;6,875;6,8125;6,875
06/01/1986;;6,9375;6,875;6,922
07/01/1986;;6,9845;6,922;6,9845
08/01/1986;;7,01575;6,672;6,71875
09/01/1986;;6,71875;6,625;6,6875
10/01/1986;;6,797;6,6875;6,75
13/01/1986;;6,797;6,71875;6,797
14/01/1986;;6,82825;6,7345;6,797
15/01/1986;;6,8125;6,7345;6,7345
16/01/1986;;6,75;6,57825;6,59375
17/01/1986;;6,5625;6,39075;6,53125
20/01/1986;;6,51575;6,46875;6,5
21/01/1986;;6,5;6,25;6,28125
22/01/1986;;6,3125;6,21875;6,2345
23/01/1986;;6,297;6,1875;6,28125
24/01/1986;;6,40625;6,26575;6,3595
27/01/1986;;6,45325;6,3125;6,40625
28/01/1986;;6,45325;6,375;6,39075
29/01/1986;;6,45325;6,39075;6,40625
30/01/1986;;6,5;6,28125;6,375
31/01/1986;;6,4845;6,375;6,46875
03/02/1986;;6,5;6,40625;6,46875
04/02/1986;;6,32825;6,09375;6,14075
05/02/1986;;6,1875;6,047;6,09375
06/02/1986;;6,2345;6,14075;6,1875
07/02/1986;;6,3125;6,15625;6,25
10/02/1986;;6,34375;6,26575;6,26575
11/02/1986;;6,34375;6,26575;6,3125
12/02/1986;;6,32825;6,26575;6,3125
13/02/1986;;6,4375;6,3125;6,422
14/02/1986;;6,4845;6,39075;6,4845
18/02/1986;;6,53125;6,422;6,5
19/02/1986;;6,4845;6,39075;6,39075
20/02/1986;;6,5;6,39075;6,4845
21/02/1986;;6,59375;6,5;6,57825
24/02/1986;;6,6875;6,5625;6,6875
25/02/1986;;6,8125;6,7345;6,8125
26/02/1986;;6,84375;6,7345;6,75
27/02/1986;;6,78125;6,5;6,547
28/02/1986;;6,57825;6,46875;6,53125
03/03/1986;;6,6095;6,5;6,6095
04/03/1986;;6,6095;6,45325;6,4845
05/03/1986;;6,57825;6,46875;6,5625
06/03/1986;;6,57825;6,5;6,53125
07/03/1986;;6,57825;6,45325;6,53125
10/03/1986;;6,57825;6,51575;6,547
11/03/1986;;6,8125;6,64075;6,8125
12/03/1986;;6,96875;6,8125;6,95325
13/03/1986;;6,95325;6,75;6,76575
14/03/1986;;6,922;6,672;6,875
17/03/1986;;6,96875;6,8125;6,96875
18/03/1986;;7,03125;6,90625;6,9375
19/03/1986;;6,96875;6,875;6,90625
20/03/1986;;6,96875;6,90625;6,95325
21/03/1986;;7,01575;6,84375;6,8595
24/03/1986;;6,90625;6,76575;6,875
25/03/1986;;6,9375;6,78125;6,89075
26/03/1986;;7,07825;6,89075;7,047
27/03/1986;;7,14075;7;7,03125
31/03/1986;;7;6,90625;6,96875
01/04/1986;;7;6,875;6,9375
02/04/1986;;7,0625;6,95325;7,03125
03/04/1986;;7,09375;6,96875;6,9845
04/04/1986;;7,047;6,8595;6,90625
07/04/1986;;6,9375;6,76575;6,8595
08/04/1986;;6,9845;6,8595;6,95325
09/04/1986;;6,9845;6,8595;6,90625
10/04/1986;;6,9845;6,89075;6,96875
11/04/1986;;7;6,89075;6,9375
14/04/1986;;6,96875;6,90625;6,96875
15/04/1986;;7,125;6,96875;7,125
16/04/1986;;7,15625;7,0625;7,1095
17/04/1986;;7,2345;7,047;7,2345
18/04/1986;;7,297;7,1095;7,15625
21/04/1986;;7,32825;7,14075;7,32825
22/04/1986;;7,32825;7,14075;7,15625
23/04/1986;;7,21875;7,1095;7,20325
24/04/1986;;7,297;7,172;7,28125
25/04/1986;;7,28125;7,09375;7,15625
28/04/1986;;7,26575;7,09375;7,25
29/04/1986;;7,28125;7,14075;7,1875
30/04/1986;;7,1875;7,0625;7,07825
01/05/1986;;7,07825;7;7,07825
02/05/1986;;7,28125;7,07825;7,25
05/05/1986;;7,4375;7,3125;7,422
06/05/1986;;7,46875;6,96875;7,46875
07/05/1986;;7,39075;7,14075;7,21875
08/05/1986;;7,32825;7,03125;7,32825
09/05/1986;;7,3595;7,28125;7,32825
12/05/1986;;7,51575;7,3595;7,422
13/05/1986;;7,45325;7,32825;7,3595
14/05/1986;;7,422;7,297;7,422
15/05/1986;;7,40625;7,28125;7,28125
16/05/1986;;7,28125;7,172;7,172
19/05/1986;;7,26575;7,14075;7,25
20/05/1986;;7,34375;7,15625;7,26575
21/05/1986;;7,297;7,25;7,26575
22/05/1986;;7,3595;7,26575;7,3595
23/05/1986;;7,4375;7,3125;7,32825
27/05/1986;;7,422;7,25;7,39075
28/05/1986;;7,4375;7,375;7,39075
29/05/1986;;7,4845;7,3595;7,422
30/05/1986;;7,5;7,375;7,4845
02/06/1986;;7,5625;7,422;7,46875
03/06/1986;;7,547;7,45325;7,547
04/06/1986;;7,5625;7,375;7,45325
05/06/1986;;7,5;7,40625;7,5
06/06/1986;;7,547;7,45325;7,51575
09/06/1986;;7,4845;7,3125;7,32825
10/06/1986;;7,4375;7,3125;7,375
11/06/1986;;7,4375;7,39075;7,40625
12/06/1986;;7,4845;7,375;7,45325
13/06/1986;;7,5625;7,45325;7,547
16/06/1986;;7,547;7,46875;7,53125
17/06/1986;;7,53125;7,4375;7,4845
18/06/1986;;7,5625;7,4375;7,5625
19/06/1986;;7,6095;7,51575;7,5625
20/06/1986;;7,625;7,51575;7,625
23/06/1986;;7,64075;7,53125;7,5625
24/06/1986;;7,672;7,53125;7,625
25/06/1986;;7,70325;7,547;7,625
26/06/1986;;7,65625;7,5625;7,59375
27/06/1986;;7,64075;7,57825;7,64075
30/06/1986;;7,672;7,57825;7,6095
01/07/1986;;7,6875;7,5625;7,65625
02/07/1986;;7,6875;7,64075;7,672
03/07/1986;;7,672;7,57825;7,59375
07/07/1986;;7,59375;7,3595;7,46875
08/07/1986;;7,5;7,39075;7,5
09/07/1986;;7,5625;7,5;7,51575
10/07/1986;;7,51575;7,375;7,4375
11/07/1986;;7,4375;7,3595;7,39075
14/07/1986;;7,39075;7,26575;7,28125
15/07/1986;;7,26575;7,1875;7,20325
16/07/1986;;7,3125;7,20325;7,3125
17/07/1986;;7,3595;7,28125;7,3595
18/07/1986;;7,53125;7,32825;7,5
21/07/1986;;7,59375;7,4845;7,547
22/07/1986;;7,57825;7,51575;7,53125
23/07/1986;;7,547;7,46875;7,46875
24/07/1986;;7,5;7,4375;7,45325
25/07/1986;;7,5625;7,4375;7,5
28/07/1986;;7,51575;7,375;7,39075
29/07/1986;;7,45325;7,28125;7,422
30/07/1986;;7,65625;7,4375;7,64075
31/07/1986;;7,64075;7,51575;7,59375
01/08/1986;;7,6095;7,547;7,5625
04/08/1986;;7,78125;7,5;7,71875
05/08/1986;;8,0625;7,95325;8,047
06/08/1986;;8,01575;7,95325;8,01575
07/08/1986;;8,01575;7,797;7,84375
08/08/1986;;7,922;7,78125;7,82825
11/08/1986;;7,95325;7,84375;7,875
12/08/1986;;7,922;7,82825;7,922
13/08/1986;;8,03125;7,90625;8,01575
14/08/1986;;8,0625;7,96875;8,01575
15/08/1986;;8,1875;7,9845;8,15625
18/08/1986;;8,28125;8,172;8,2345
19/08/1986;;8,26575;8,09375;8,125
20/08/1986;;8,25;8,09375;8,20325
21/08/1986;;8,2345;8,125;8,15625
22/08/1986;;8,21875;8,14075;8,20325
25/08/1986;;8,2345;8,172;8,172
26/08/1986;;8,5;8,21875;8,5
27/08/1986;;8,71875;8,46875;8,672
28/08/1986;;8,6875;8,57825;8,625
29/08/1986;;8,71875;8,57825;8,6095
02/09/1986;;8,672;8,46875;8,4845
03/09/1986;;8,65625;8,4375;8,625
04/09/1986;;8,89075;8,64075;8,84375
05/09/1986;;8,90625;8,797;8,797
08/09/1986;;8,797;8,672;8,75
09/09/1986;;8,7345;8,64075;8,672
10/09/1986;;8,78125;8,65625;8,7345
11/09/1986;;8,7345;8,25;8,297
12/09/1986;;8,375;8,047;8,25
15/09/1986;;8,5;8,3125;8,46875
16/09/1986;;8,4375;8,32825;8,422
17/09/1986;;8,46875;8,3125;8,32825
18/09/1986;;8,39075;8,2345;8,39075
19/09/1986;;8,4375;8,28125;8,28125
22/09/1986;;8,3595;8,25;8,3125
23/09/1986;;8,3595;8,25;8,32825
24/09/1986;;8,40625;8,3125;8,34375
25/09/1986;;8,32825;8,1095;8,15625
26/09/1986;;8,2345;8,125;8,21875
29/09/1986;;8,297;8,172;8,297
30/09/1986;;8,5;8,32825;8,40625
01/10/1986;;8,547;8,39075;8,4845
02/10/1986;;8,51575;8,422;8,45325
03/10/1986;;8,547;8,422;8,45325
06/10/1986;;8,4845;8,3595;8,3595
07/10/1986;;8,4375;8,3595;8,422
08/10/1986;;8,53125;8,375;8,53125
09/10/1986;;8,57825;8,3595;8,375
10/10/1986;;8,3595;8,26575;8,297
13/10/1986;;8,3595;8,26575;8,3595
14/10/1986;;8,28125;8,1875;8,26575
15/10/1986;;8,375;8,25;8,375
16/10/1986;;8,5625;8,3595;8,547
17/10/1986;;8,547;8,45325;8,51575
20/10/1986;;8,4845;8,3125;8,34375
21/10/1986;;8,375;8,3125;8,32825
22/10/1986;;8,375;8,28125;8,297
23/10/1986;;8,34375;8,25;8,297
24/10/1986;;8,3595;8,28125;8,297
27/10/1986;;8,3595;8,25;8,32825
28/10/1986;;8,34375;8,26575;8,297
29/10/1986;;8,34375;8,20325;8,21875
30/10/1986;;8,5;8,26575;8,45325
31/10/1986;;8,57825;8,46875;8,5
03/11/1986;;8,70325;8,53125;8,672
04/11/1986;;8,75;8,64075;8,75
05/11/1986;;8,70325;8,6095;8,672
06/11/1986;;8,71875;8,57825;8,6095
07/11/1986;;8,65625;8,5625;8,6095
10/11/1986;;8,6875;8,625;8,65625
11/11/1986;;8,75;8,64075;8,75
12/11/1986;;8,76575;8,64075;8,70325
13/11/1986;;8,70325;8,57825;8,625
14/11/1986;;8,70325;8,59375;8,672
17/11/1986;;8,672;8,59375;8,64075
18/11/1986;;8,65625;8,40625;8,422
19/11/1986;;8,4845;8,375;8,422
20/11/1986;;8,57825;8,375;8,57825
21/11/1986;;8,76575;8,547;8,75
24/11/1986;;8,76575;8,65625;8,71875
25/11/1986;;8,6875;8,57825;8,65625
26/11/1986;;8,6875;8,6095;8,65625
28/11/1986;;8,672;8,59375;8,65625
01/12/1986;;8,64075;8,5;8,64075
02/12/1986;;8,8125;8,625;8,8125
03/12/1986;;8,797;8,65625;8,672
04/12/1986;;8,70325;8,59375;8,59375
05/12/1986;;8,6875;8,59375;8,65625
08/12/1986;;8,8125;8,64075;8,71875
09/12/1986;;8,75;8,6875;8,70325
10/12/1986;;8,8125;8,672;8,8125
11/12/1986;;8,8595;8,65625;8,71875
12/12/1986;;8,9375;8,75;8,922
15/12/1986;;9,047;8,8595;9
16/12/1986;;9,09375;8,9845;9,07825
17/12/1986;;9,0625;8,9375;8,95325
18/12/1986;;9;8,8125;8,9375
19/12/1986;;9,125;8,90625;9,09375
22/12/1986;;9,172;9,0625;9,1095
23/12/1986;;9,21875;9,09375;9,1875
24/12/1986;;9,26575;9,14075;9,25
26/12/1986;;9,25;9,172;9,1875
29/12/1986;;9,1875;9,03125;9,09375
30/12/1986;;9,09375;8,95325;8,96875
31/12/1986;;8,9845;8,76575;8,76575
02/01/1987;;9,01575;8,84375;9
05/01/1987;;9,25;9,07825;9,21875
06/01/1987;;9,25;9,172;9,1875
07/01/1987;;9,2345;9,15625;9,172
08/01/1987;;9,1875;9,09375;9,172
09/01/1987;;9,25;9,14075;9,20325
12/01/1987;;9,4375;9,20325;9,39075
13/01/1987;;9,4375;9,34375;9,422
14/01/1987;;9,5625;9,422;9,53125
15/01/1987;;9,625;9,4845;9,6095
16/01/1987;;9,76575;9,57825;9,75
19/01/1987;;9,8595;9,70325;9,82825
20/01/1987;;9,9375;9,797;9,90625
21/01/1987;;10;9,78125;9,797
22/01/1987;;10;9,75;10
23/01/1987;;10,57825;9,8125;9,90625
26/01/1987;;10,172;9,875;10,07825
27/01/1987;;10,2345;10,07825;10,21875
28/01/1987;;10,25;10,125;10,2345
29/01/1987;;10,28125;10,14075;10,25
30/01/1987;;10,3595;10,15625;10,34375
02/02/1987;;10,51575;10,3125;10,46875
03/02/1987;;10,5625;10,4375;10,4375
04/02/1987;;10,5;10,3125;10,5
05/02/1987;;10,625;10,51575;10,57825
06/02/1987;;10,625;10,4845;10,51575
09/02/1987;;10,53125;10,4375;10,46875
10/02/1987;;10,53125;10,375;10,45325
11/02/1987;;10,45325;10,32825;10,40625
12/02/1987;;10,39075;10,0625;10,09375
13/02/1987;;10,21875;9,96875;10,125
17/02/1987;;10,32825;10,07825;10,3125
18/02/1987;;10,45325;10,26575;10,375
19/02/1987;;10,34375;10,125;10,172
20/02/1987;;10,20325;10,09375;10,172
23/02/1987;;10,25;9,96875;10
24/02/1987;;10,01575;9,797;9,797
25/02/1987;;9,78125;9,64075;9,70325
26/02/1987;;9,7345;9,53125;9,7345
27/02/1987;;9,84375;9,7345;9,797
02/03/1987;;9,8595;9,75;9,82825
03/03/1987;;10,047;9,89075;10,01575
04/03/1987;;10,15625;10,01575;10,15625
05/03/1987;;10,2345;10,125;10,15625
06/03/1987;;10,25;10,125;10,1875
09/03/1987;;10,1875;10,0625;10,125
10/03/1987;;10,297;10,1095;10,28125
11/03/1987;;10,3125;10,20325;10,3125
12/03/1987;;10,45325;10,28125;10,40625
13/03/1987;;10,422;10,3125;10,32825
16/03/1987;;10,297;10,20325;10,26575
17/03/1987;;10,59375;10,297;10,547
18/03/1987;;10,75;10,6095;10,672
19/03/1987;;10,6875;10,5625;10,6095
20/03/1987;;10,71875;10,57825;10,71875
23/03/1987;;11,09375;10,6875;11,03125
24/03/1987;;11,125;10,96875;11
25/03/1987;;11,01575;10,875;10,922
26/03/1987;;11,09375;10,96875;11
27/03/1987;;11,03125;10,82825;10,84375
30/03/1987;;10,65625;10,375;10,5625
31/03/1987;;10,7345;10,59375;10,71875
01/04/1987;;11,1095;10,65625;11,0625
02/04/1987;;11,172;10,96875;11,09375
03/04/1987;;11,3125;11,03125;11,2345
06/04/1987;;11,3595;11,20325;11,2345
07/04/1987;;11,39075;11,047;11,14075
08/04/1987;;11,1875;10,96875;11,047
09/04/1987;;11,1095;10,95325;11,09375
10/04/1987;;11,375;11;11,26575
13/04/1987;;11,5;11,1875;11,1875
14/04/1987;;11,3595;10,90625;11,07825
15/04/1987;;11,2345;10,95325;11,172
16/04/1987;;11,3125;11;11,0625
20/04/1987;;11,1095;10,82825;10,95325
21/04/1987;;11,2345;10,8125;11,2345
22/04/1987;;11,297;10,9375;10,9375
23/04/1987;;11,1875;10,875;11,09375
24/04/1987;;11,1095;10,78125;10,8125
27/04/1987;;10,8125;10,53125;10,6875
28/04/1987;;10,7345;10,547;10,5625
29/04/1987;;10,65625;10,5625;10,625
30/04/1987;;10,96875;10,6095;10,82825
01/05/1987;;10,797;10,65625;10,71875
04/05/1987;;10,8125;10,672;10,797
05/05/1987;;11,125;10,84375;11,125
06/05/1987;;11,14075;11;11,0625
07/05/1987;;11,047;10,84375;10,8595
08/05/1987;;10,922;10,70325;10,82825
11/05/1987;;11,3125;10,90625;11,0625
12/05/1987;;11,25;11,09375;11,25
13/05/1987;;11,32825;11,1875;11,28125
14/05/1987;;11,32825;11,1875;11,25
15/05/1987;;11,1875;10,84375;10,89075
18/05/1987;;11,125;10,875;11,047
19/05/1987;;11,09375;10,8125;10,875
20/05/1987;;11,1095;10,875;10,922
21/05/1987;;11,125;10,875;11
22/05/1987;;11,03125;10,78125;10,84375
26/05/1987;;11;10,84375;10,9845
27/05/1987;;11;10,89075;10,9375
28/05/1987;;10,9845;10,84375;10,9375
29/05/1987;;11;10,84375;10,875
01/06/1987;;11;10,89075;10,90625
02/06/1987;;10,9845;10,84375;10,90625
03/06/1987;;11,0625;10,922;11,03125
04/06/1987;;11,0625;10,9845;11,0625
05/06/1987;;11,0625;10,90625;10,90625
08/06/1987;;10,9845;10,82825;10,9375
09/06/1987;;10,95325;10,84375;10,8595
10/06/1987;;11,01575;10,90625;10,922
11/06/1987;;11,1095;10,95325;11,01575
12/06/1987;;11,2345;11,09375;11,172
15/06/1987;;11,20325;11,125;11,172
16/06/1987;;11,20325;11,14075;11,1875
17/06/1987;;11,26575;11,172;11,21875
18/06/1987;;11,25;11,1875;11,2345
19/06/1987;;11,32825;11,21875;11,26575
22/06/1987;;11,46875;11,28125;11,45325
23/06/1987;;11,4845;11,34375;11,40625
24/06/1987;;11,422;11,3125;11,3595
25/06/1987;;11,46875;11,3595;11,45325
26/06/1987;;11,53125;11,40625;11,4375
29/06/1987;;11,75;11,5;11,70325
30/06/1987;;11,78125;11,59375;11,65625
01/07/1987;;11,672;11,51575;11,53125
02/07/1987;;11,65625;11,57825;11,59375
06/07/1987;;11,70325;11,5625;11,672
07/07/1987;;11,9375;11,672;11,8595
08/07/1987;;11,90625;11,797;11,8595
09/07/1987;;11,922;11,76575;11,797
10/07/1987;;11,8125;11,75;11,76575
13/07/1987;;11,797;11,65625;11,71875
14/07/1987;;11,75;11,64075;11,75
15/07/1987;;11,797;11,70325;11,75
16/07/1987;;11,84375;11,76575;11,84375
17/07/1987;;11,9375;11,78125;11,922
20/07/1987;;11,90625;11,82825;11,875
21/07/1987;;11,9375;11,672;11,75
22/07/1987;;11,76575;11,51575;11,547
23/07/1987;;11,672;11,547;11,625
24/07/1987;;11,6875;11,6095;11,6095
27/07/1987;;11,625;11,4845;11,5
28/07/1987;;11,51575;11,34375;11,5
29/07/1987;;11,51575;11,375;11,5
30/07/1987;;11,672;11,5;11,672
31/07/1987;;11,78125;11,65625;11,76575
03/08/1987;;12,3125;11,875;12,1875
04/08/1987;;12,20325;12,0625;12,14075
05/08/1987;;12,172;12,03125;12,07825
06/08/1987;;12,14075;12;12,09375
07/08/1987;;11,95325;11,89075;11,922
10/08/1987;;12,28125;11,9845;12,28125
11/08/1987;;12,53125;12,2345;12,53125
12/08/1987;;12,51575;12,3125;12,375
13/08/1987;;12,422;12,172;12,21875
14/08/1987;;12,25;12,09375;12,15625
17/08/1987;;12,25;12,14075;12,2345
18/08/1987;;12,1875;12,07825;12,1875
19/08/1987;;12,25;12,14075;12,25
20/08/1987;;12,4375;12,21875;12,4375
21/08/1987;;12,4845;12,375;12,375
24/08/1987;;12,422;12,2345;12,2345
25/08/1987;;12,34375;12,2345;12,28125
26/08/1987;;12,3125;12,20325;12,2345
27/08/1987;;12,28125;11,84375;12,25
28/08/1987;;12,297;12,2345;12,25
31/08/1987;;12,46875;12,32825;12,45325
01/09/1987;;12,59375;12,14075;12,1875
02/09/1987;;12,20325;11,9845;12,1095
03/09/1987;;12,20325;12,047;12,20325
04/09/1987;;12,28125;12,125;12,125
08/09/1987;;12,14075;12;12,125
09/09/1987;;12,125;12;12
10/09/1987;;12,1095;11,875;11,90625
11/09/1987;;12,0625;11,90625;11,96875
14/09/1987;;11,9375;11,7345;11,75
15/09/1987;;11,8125;11,53125;11,6875
16/09/1987;;11,84375;11,4375;11,5
17/09/1987;;11,59375;11,28125;11,4375
18/09/1987;;11,6875;11,5;11,5
21/09/1987;;11,8125;11,5;11,5625
22/09/1987;;12,28125;11,5625;12,25
23/09/1987;;12,34375;11,96875;12,1875
24/09/1987;;12,25;11,9375;11,96875
25/09/1987;;12,21875;11,875;12,15625
28/09/1987;;12,5625;12,3125;12,3125
29/09/1987;;12,4375;12,1875;12,3125
30/09/1987;;12,375;12,09375;12,15625
01/10/1987;;12,5;12,25;12,40625
02/10/1987;;12,46875;12,25;12,4375
05/10/1987;;12,46875;12,21875;12,4375
06/10/1987;;12,4375;11,9375;12,03125
07/10/1987;;12;11,6875;11,90625
08/10/1987;;12;11,6875;11,75
09/10/1987;;12,125;11,8125;12
12/10/1987;;12,09375;11,84375;11,9375
13/10/1987;;12,3125;12,03125;12,28125
14/10/1987;;12,1875;11,75;11,78125
15/10/1987;;12;11,59375;11,6875
16/10/1987;;11,84375;10,875;10,9375
19/10/1987;;10,625;7,71875;8,375
20/10/1987;;10,71875;9,0625;9,875
21/10/1987;;11,3125;10,21875;10,9375
22/10/1987;;11,25;10,40625;10,875
23/10/1987;;11,25;10,53125;11,21875
26/10/1987;;10,5625;10;10,28125
27/10/1987;;10,9375;10,3125;10,75
28/10/1987;;10,71875;10,0625;10,1875
29/10/1987;;10,5625;10,15625;10,3125
30/10/1987;;10,6875;10,34375;10,65625
02/11/1987;;11;10,3125;10,90625
03/11/1987;;11;10,25;10,875
04/11/1987;;10,875;10,625;10,65625
05/11/1987;;10,6875;10,34375;10,4375
06/11/1987;;10,625;10,25;10,3125
09/11/1987;;10,375;10,03125;10,0625
10/11/1987;;10,0625;9,875;9,90625
11/11/1987;;10;9,875;9,96875
12/11/1987;;10,375;10,25;10,28125
13/11/1987;;10,3125;10,09375;10,15625
16/11/1987;;10,34375;10,125;10,3125
17/11/1987;;10,3125;10;10,125
18/11/1987;;10,375;9,9375;10,375
19/11/1987;;10,3125;9,78125;9,84375
20/11/1987;;10,0625;9,5625;10,0625
23/11/1987;;10,0625;9,9375;9,9375
24/11/1987;;10,21875;10;10,09375
25/11/1987;;10,15625;9,78125;9,78125
27/11/1987;;9,96875;9,78125;9,78125
30/11/1987;;9,53125;9;9,1875
01/12/1987;;9,46875;9,1875;9,25
02/12/1987;;9,46875;9,03125;9,4375
03/12/1987;;9,625;9;9
04/12/1987;;9,125;8,8125;9,0625
07/12/1987;;9,4375;9,125;9,40625
08/12/1987;;9,96875;9,375;9,96875
09/12/1987;;9,9375;9,6875;9,875
10/12/1987;;9,9375;9,5;9,5
11/12/1987;;9,875;9,625;9,8125
14/12/1987;;9,96875;9,6875;9,96875
15/12/1987;;10,0625;9,65625;9,8125
16/12/1987;;10,0625;9,84375;10,03125
17/12/1987;;9,96875;9,6875;9,71875
18/12/1987;;10,5;9,6875;10
21/12/1987;;10,03125;9,84375;9,875
22/12/1987;;9,96875;9,8125;9,96875
23/12/1987;;10,125;9,96875;10,09375
24/12/1987;;10,125;10,03125;10,09375
28/12/1987;;9,90625;9,59375;9,65625
29/12/1987;;9,8125;9,5625;9,59375
30/12/1987;;9,8125;9,65625;9,71875
31/12/1987;;9,71875;9,5;9,53125
04/01/1988;;10,15625;9,6875;10,125
05/01/1988;;10,34375;10,09375;10,1875
06/01/1988;;10,25;10,09375;10,09375
07/01/1988;;10,375;10;10,28125
08/01/1988;;10,28125;9,15625;9,5
11/01/1988;;9,75;9,21875;9,6875
12/01/1988;;9,9375;9,4375;9,84375
13/01/1988;;10,1875;9,65625;9,78125
14/01/1988;;9,8125;9,59375;9,6875
15/01/1988;;10,21875;9,9375;10,21875
18/01/1988;;10,21875;10,09375;10,1875
19/01/1988;;10,1875;9,9375;9,96875
20/01/1988;;10;9,59375;9,625
21/01/1988;;9,78125;9,5625;9,6875
22/01/1988;;9,90625;9,6875;9,90625
25/01/1988;;10,28125;9,90625;10,1875
26/01/1988;;10,1875;10;10,0625
27/01/1988;;10,21875;9,875;9,9375
28/01/1988;;10,3125;10,03125;10,28125
29/01/1988;;10,5;10,25;10,5
01/02/1988;;10,53125;10,25;10,25
02/02/1988;;10,40625;10,125;10,34375
03/02/1988;;10,46875;10,15625;10,28125
04/02/1988;;10,375;10,125;10,25
05/02/1988;;10,1875;9,90625;9,96875
08/02/1988;;10,0625;9,8125;10
09/02/1988;;10,25;9,96875;10,25
10/02/1988;;10,34375;10,125;10,3125
11/02/1988;;10,3125;10,03125;10,0625
12/02/1988;;10,28125;10,0625;10,125
16/02/1988;;10,375;10,15625;10,375
17/02/1988;;10,59375;10,34375;10,53125
18/02/1988;;10,625;10,4375;10,5
19/02/1988;;10,6875;10,4375;10,6875
22/02/1988;;10,90625;10,65625;10,84375
23/02/1988;;10,78125;10,53125;10,71875
24/02/1988;;10,71875;10,5625;10,5625
25/02/1988;;10,6875;10,3125;10,40625
26/02/1988;;10,40625;10,3125;10,3125
29/02/1988;;10,6875;10,375;10,65625
01/03/1988;;10,6875;10,5;10,65625
02/03/1988;;10,75;10,5625;10,65625
03/03/1988;;10,6875;10,46875;10,5625
04/03/1988;;10,5625;10,34375;10,46875
07/03/1988;;10,5625;10,40625;10,53125
08/03/1988;;10,625;10,46875;10,625
09/03/1988;;10,65625;10,4375;10,46875
10/03/1988;;10,59375;10,34375;10,40625
11/03/1988;;10,53125;10,375;10,53125
14/03/1988;;10,5625;10,4375;10,5625
15/03/1988;;10,65625;10,5;10,625
16/03/1988;;10,9375;10,65625;10,875
17/03/1988;;11,0625;10,78125;11
18/03/1988;;11,15625;10,9375;11,03125
21/03/1988;;11,125;10,9375;11,03125
22/03/1988;;11,125;10,875;10,875
23/03/1988;;11,125;10,84375;11,03125
24/03/1988;;10,96875;10,65625;10,6875
25/03/1988;;10,78125;10,375;10,40625
28/03/1988;;10,75;10,40625;10,65625
29/03/1988;;10,8125;10,59375;10,59375
30/03/1988;;10,65625;10,40625;10,4375
31/03/1988;;10,59375;10,375;10,5
04/04/1988;;10,5625;10,28125;10,3125
05/04/1988;;10,5;10,34375;10,5
06/04/1988;;11;10,40625;11
07/04/1988;;11,1875;10,9375;11,125
08/04/1988;;11,21875;10,96875;11,15625
11/04/1988;;11,28125;11,09375;11,1875
12/04/1988;;11,375;11,125;11,34375
13/04/1988;;11,375;11,25;11,375
14/04/1988;;11,21875;10,59375;10,75
15/04/1988;;10,96875;10,5625;10,90625
18/04/1988;;10,9375;10,78125;10,84375
19/04/1988;;10,90625;10,5;10,53125
20/04/1988;;10,625;10,4375;10,46875
21/04/1988;;10,84375;10,40625;10,6875
22/04/1988;;11,0625;10,65625;11
25/04/1988;;11,3125;11,0625;11,1875
26/04/1988;;11,28125;11,0625;11,25
27/04/1988;;11,21875;11,125;11,1875
28/04/1988;;11,25;11,125;11,25
29/04/1988;;11,25;11,15625;11,21875
02/05/1988;;11,21875;11,09375;11,15625
03/05/1988;;11,4375;11,15625;11,28125
04/05/1988;;11,28125;11,03125;11,0625
05/05/1988;;11,09375;10,90625;10,96875
06/05/1988;;11,21875;10,96875;11,03125
09/05/1988;;11,03125;10,875;10,90625
10/05/1988;;11,09375;10,9375;11,03125
11/05/1988;;11;10,875;10,90625
12/05/1988;;11,0625;10,875;11
13/05/1988;;11,28125;11,09375;11,25
16/05/1988;;11,3125;11,125;11,25
17/05/1988;;11,28125;11;11
18/05/1988;;11,09375;10,84375;10,9375
19/05/1988;;11,03125;10,8125;11,03125
20/05/1988;;11,15625;10,9375;11,03125
23/05/1988;;11,03125;10,875;10,96875
24/05/1988;;11;10,875;10,96875
25/05/1988;;11,0625;10,9375;11
